"gene","waldStat_BA","pvalue_BA","padj_BA","fcMedian_BA","waldStat_AB","pvalue_AB","padj_AB","fcMedian_AB","max_padj","mean_waldStat","mean_fcMedian","both_positive_fc","both_negative_fc","consistent_direction"
"FBXO32",230.820077748473,0,0,3.38282764162379,207.551306660443,0,0,3.41885577463932,0,219.185692204458,3.40084170813155,TRUE,FALSE,TRUE
"FGFR1",87.3286351591784,0,0,0.617214874741173,99.1998408698813,0,0,0.753832787620684,0,93.2642380145298,0.685523831180929,TRUE,FALSE,TRUE
"FTH1",2186.53766046971,0,0,1.24737667486571,2349.36190447098,0,0,1.30156579834757,0,2267.94978247034,1.27447123660664,TRUE,FALSE,TRUE
"FTL",2077.45066746909,0,0,0.901393957726223,2149.77639007932,0,0,0.827948731835521,0,2113.61352877421,0.864671344780872,TRUE,FALSE,TRUE
"G0S2",104.365935978488,0,0,2.61771551485035,83.7407923471241,0,0,2.12683731372494,0,94.0533641628062,2.37227641428764,TRUE,FALSE,TRUE
"GALNT15",195.804314175588,0,0,2.01653127687202,186.40129080503,0,0,1.07663689973429,0,191.102802490309,1.54658408830315,TRUE,FALSE,TRUE
"GDF15",400.227563570205,0,0,2.81239410610788,406.176851345003,0,0,2.96453477622177,0,403.202207457604,2.88846444116483,TRUE,FALSE,TRUE
"GLO1",182.243517574219,0,0,1.23627481950503,178.649461170491,0,0,1.32535734134818,0,180.446489372355,1.28081608042661,TRUE,FALSE,TRUE
"GNG11",210.446853450621,0,0,0.785838881210858,200.744659988261,0,0,0.803237981040324,0,205.595756719441,0.794538431125591,TRUE,FALSE,TRUE
"GRN",490.245858645719,0,0,1.11672603992252,567.363353777762,0,0,1.19931856752154,0,528.80460621174,1.15802230372203,TRUE,FALSE,TRUE
"H1F0",85.8264445523341,0,0,0.953370895784666,94.2386512739953,0,0,0.92765198402075,0,90.0325479131647,0.940511439902708,TRUE,FALSE,TRUE
"H2AFZ",397.330577278954,0,0,0.96597807820311,325.457724325453,0,0,0.891088675729783,0,361.394150802204,0.928533376966446,TRUE,FALSE,TRUE
"H3F3A",208.830811981084,0,0,1.10353172621276,197.991510858128,0,0,1.21795411365994,0,203.411161419606,1.16074291993635,TRUE,FALSE,TRUE
"HAS2",566.452328921836,0,0,1.2804781804902,590.283137358374,0,0,1.5140077474322,0,578.367733140105,1.3972429639612,TRUE,FALSE,TRUE
"HIST1H4C",110.895024273022,0,0,2.07247353649888,104.089834373144,0,0,2.03904620201329,0,107.492429323083,2.05575986925609,TRUE,FALSE,TRUE
"HLA.C",246.285440654583,0,0,1.05370721574793,266.262071594709,0,0,0.956905042965211,0,256.273756124646,1.00530612935657,TRUE,FALSE,TRUE
"HMGA1",201.036325886938,0,0,0.629940992691375,157.786499855542,0,0,0.69095218829221,0,179.41141287124,0.660446590491793,TRUE,FALSE,TRUE
"HMGB1",324.554692736778,0,0,0.980340419297485,274.938093929178,0,0,0.912175544782275,0,299.746393332978,0.94625798203988,TRUE,FALSE,TRUE
"HMGB2",300.39374126897,0,0,2.04496383309069,293.55512564136,0,0,1.87530731984057,0,296.974433455165,1.96013557646563,TRUE,FALSE,TRUE
"HMGN2",338.60101165182,0,0,1.22410843025007,356.715780032061,0,0,1.32864334843047,0,347.65839584194,1.27637588934027,TRUE,FALSE,TRUE
"HMOX1",1055.08363517002,0,0,2.75023486956044,1016.58391444184,0,0,2.70574649137016,0,1035.83377480593,2.7279906804653,TRUE,FALSE,TRUE
"HNRNPA2B1",122.130132856712,0,0,0.554147543198661,115.822995778291,0,0,0.631561951810229,0,118.976564317501,0.592854747504445,TRUE,FALSE,TRUE
"HSP90AA1",1289.32750431658,0,0,1.78341703324081,1168.06951475753,0,0,1.48545620631647,0,1228.69850953705,1.63443661977864,TRUE,FALSE,TRUE
